index,title,topic_idx
0,인천 핀란드 항공 기 결항 휴가 철 여행 객 분통,4
1,실리 콘 밸리 넘어 서 겠다 구글 조원 들여 美 전역 거점 화,4
2,이란 외무 긴장 완화 해결 책 은 미국 이 경제 전쟁 멈추는 것,4
3,NYT 클린 턴 측근 韓 기업 특수 관계 조명 공과 사 맞물려 종합,4
4,시진핑 트럼프 에 중미 무역 협상 조속 타결 희망,4
5,팔레 스타 인 가자 지구 서 세 소년 이 스라엘 군 총격 에 사망,4
6,인도 년 만에 파키 스탄 공습 테러 캠프 폭격 종합 보,4
7,美 대선 TV 토론 음담패설 만회 실패 트럼프 사과 대신 빌 클린 턴 공격 해 역 효과,4
8,푸틴 한 반도 상황 진전 위한 방안 김 정은 위 원장 과 논의,4
9,특검 면죄부 받은 트럼프 스캔들 보도 언론 맹공 국민 의 적,4
10,日 오키 나와 서 열린 강제 징용 노동 자 추도 식,4
11,이란 서 최고 지도 자 모욕 혐의 미국 인 에 징역 년 선고,4
12,카니발 축제 보러 가자 브라질 리우 에 대형 유람선 행렬,4
13,美 올랜도 병원 최악 총기 테러 부상 자 치료 비 안 받는 다,4
14,日 대 기업 올해 평균 임금 인상,4
15,WMO 엘니뇨 여전 히 강력 분기 엔 소멸 될 듯,4
16,이 스라엘 네타냐후 유 대교 도 병역 문제 로 연정 협상 진통,4
17,UAE 사우디 이어 美 호르무즈 호위 연합 에 참여 키로,4
18,사우디 군 오만 해 유 조선 공격 예멘 반군 과 연결 이란 겨냥,4
19,개천 에서 용 나와 라 美 사업 가 모교 에 천 억원 장학 금 기부,4
20,EU 브렉시트 합의 전 해야 할 일 많아 英에 경고,4
21,스팍스 운용 일본 디플레 벗어나 새로 운 도약 준비 중,4
22,트럼프 총기 난사 는 惡의 공격 총기 규제 초당 적 협력 촉구 종합,4
23,NBA 카지노 업체 와 스폰서 계약 美 프로 스포 츠 사상 처음,4
24,오바마 대통령 퇴임 후 워싱턴 DC에 사 무실 개소 예정,4
25,美 전문 가 트럼프 정부 북한 과 정상 급 관계 시도 할 것,4
26,이 스라엘 네타냐후 이란 에 경고 우리 전투 기 도달 가능 지역,4
27,이 스라엘 네타냐후 총선 한달 앞 두고 우크라 방문 예정,4
28,트럼프 탄핵 보고 서 통화 기록 에 등장 한 의문 의 숫자,4
29,미국 산업 생산 한 달 만에 제조 업 회복 기대,4
30,셰이크 살만 AFC 회장 평양 방문 최휘 국가 체육 지도 위 원장,4
31,신 중국 년 ① 차 이나 미라 클 최빈국 서 G 경제 대국 부상,4
32,UAE 단교 개월 만 에 카타르 왕래 화물 선 허용,4
33,송환 법 반대 홍콩 집회 서 임을 위한 행진 곡 울려 퍼져,4
34,말 레이 시아 총리 비 자금 스캔들 확산 정국 긴장 고조,4
35,이 스라엘 서 군 복무 유대 학교 학생 흉기 에 찔려 숨진 채 발견,4
36,獨 하원 反 이 스라엘 운동 지원 단체 에 지원 중단 결의 안,4
37,미군 정찰 기 또 한 반도 비행 북 방사 포 발사 이후 감시 강화,4
38,암스테르담 옴부즈맨 홍등가 출입 금지 연령 정해 서 이행 해야,4
39,G 때 홍콩 문제 알리 자 홍콩 시민 들 릴 레이 시위 예고,4
